data_class,Project ID,Monitoring Location ID,Monitoring Location Name,AU,Activity ID,Activity Type,Activity Media Name,Activity Media Subdivision,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Type,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment,Activity Comment,WQP Result ID
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-6/23/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,6/23/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,530,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-7/7/2005-12:30-FM,Field Msr/Obs,Water,Surface Water,7/7/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,508,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-7/21/2005-13:30-FM,Field Msr/Obs,Water,Surface Water,7/21/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,432,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-10/18/2005-16:00-FM,Field Msr/Obs,Water,Surface Water,10/18/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,582,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-11/3/2005-15:00-FM,Field Msr/Obs,Water,Surface Water,11/3/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,396,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-1/5/2006-12:30-FM,Field Msr/Obs,Water,Surface Water,1/5/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,454,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-1/20/2006-13:00-FM,Field Msr/Obs,Water,Surface Water,1/20/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,470,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-2/10/2006-12:30-FM,Field Msr/Obs,Water,Surface Water,2/10/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,460,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-3/16/2006-12:00-FM,Field Msr/Obs,Water,Surface Water,3/16/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,432,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-2/2/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,2/2/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,232,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-2/16/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,2/16/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,262,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-3/2/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,3/2/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,257,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
